order_id,customer_id,product_id,product_name,category,region,quantity,unit_price,order_date,country,order_month,order_quarter,order_year,order_dow,revenue,cost,profit,profit_margin
INV00001,1435,PRD013,Data Science Book,Home & Kitchen,East,4,334.02,2023-01-01 00:52:25.274527452,Germany,2023-01,2023Q1,2023,Sunday,1336.08,984.962686581805,351.11731341819495,26.28
INV00002,1348,PRD083,Cricket Bat,Home & Kitchen,West,8,3330.11,2023-01-01 01:44:50.549054905,India,2023-01,2023Q1,2023,Sunday,26640.88,20747.846521700918,5893.033478299083,22.12
INV00003,1270,PRD029,T-Shirt,Home & Kitchen,South,8,3834.04,2023-01-01 02:37:15.823582358,Germany,2023-01,2023Q1,2023,Sunday,30672.32,23025.429788787453,7646.890211212547,24.93
INV00004,1106,PRD003,Cricket Bat,Home & Kitchen,West,2,410.37,2023-01-01 03:29:41.098109810,USA,2023-01,2023Q1,2023,Sunday,820.74,604.2458559032183,216.49414409678172,26.38
INV00005,1071,PRD090,Python Book,Clothing,North,3,3866.0,2023-01-01 04:22:06.372637263,India,2023-01,2023Q1,2023,Sunday,11598.0,8187.187090683155,3410.8129093168454,29.41
INV00006,1188,PRD104,Coffee Maker,Sports,North,3,3213.85,2023-01-01 05:14:31.647164716,Germany,2023-01,2023Q1,2023,Sunday,9641.55,7341.7850964594545,2299.7649035405448,23.85
INV00007,1020,PRD123,Cricket Bat,Clothing,South,1,626.24,2023-01-01 06:06:56.921692169,Germany,2023-01,2023Q1,2023,Sunday,626.24,444.25265379528713,181.98734620471288,29.06
INV00008,1102,PRD186,Data Science Book,Clothing,South,3,2722.7,2023-01-01 06:59:22.196219621,UK,2023-01,2023Q1,2023,Sunday,8168.099999999999,6721.8827619220265,1446.217238077973,17.71
INV00009,1121,PRD076,Data Science Book,Clothing,North,8,588.27,2023-01-01 07:51:47.470747074,UK,2023-01,2023Q1,2023,Sunday,4706.16,3957.4837842398806,748.6762157601192,15.91
INV00010,1466,PRD130,Kitchen Blender,Books,East,6,1642.01,2023-01-01 08:44:12.745274527,USA,2023-01,2023Q1,2023,Sunday,9852.06,6855.658212490673,2996.401787509327,30.41
INV00011,1214,PRD108,Football,Clothing,East,5,4029.73,2023-01-01 09:36:38.019801980,UK,2023-01,2023Q1,2023,Sunday,20148.65,16077.237672141071,4071.4123278589304,20.21
INV00012,1330,PRD156,Smartphone,Home & Kitchen,East,9,548.91,2023-01-01 10:29:03.294329432,USA,2023-01,2023Q1,2023,Sunday,4940.19,3617.324348403525,1322.8656515964744,26.78
