order_month,revenue,profit,orders,customers,margin_pct,aov,mom_growth
2023-01,10032235.52,2778818.9784765574,815,395,27.7,12309.49,
2023-02,9445988.41,2567050.865639994,749,376,27.2,12611.47,-5.8
2023-03,9842137.8,2695784.658380541,817,397,27.4,12046.68,4.2
2023-04,10262817.91,2833037.365304329,799,399,27.6,12844.58,4.3
2023-05,10309098.71,2870886.7588961646,822,402,27.8,12541.48,0.5
2023-06,9577515.53,2691041.9725713753,802,391,28.1,11942.04,-7.1
2023-07,10296244.94,2831047.991848795,821,407,27.5,12541.1,7.5
2023-08,10169644.83,2812139.3545669173,823,403,27.7,12356.8,-1.2
2023-09,10182881.1,2812522.267303188,797,392,27.6,12776.51,0.1
2023-10,10343944.39,2878554.5863067536,828,410,27.8,12492.69,1.6
2023-11,9827236.03,2708329.889190712,800,399,27.6,12284.05,-5.0
2023-12,10070185.96,2761376.055109962,794,389,27.4,12682.85,2.5
