customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
1000,18,21,271119.02,3,4,4,11,Loyal Customers
1001,5,18,237749.46,4,2,3,9,Loyal Customers
1002,19,19,231181.09,2,3,3,8,At Risk
1003,6,18,156758.08000000002,4,2,1,7,At Risk
1004,0,22,258325.93,5,4,4,13,Champions
1005,18,16,280483.35,3,2,4,9,Loyal Customers
1006,34,21,223470.31,1,4,3,8,At Risk
1007,5,27,267242.93,4,5,4,13,Champions
1008,8,16,93466.06,4,2,1,7,At Risk
1009,5,20,240803.41,4,3,3,10,Loyal Customers
1010,8,16,216761.72,4,2,2,8,At Risk
1011,6,27,355054.06,4,5,5,14,Champions
1012,0,26,383750.29,5,5,5,15,Champions
1013,5,25,364419.02,4,5,5,14,Champions
1014,17,16,200267.85,3,2,2,7,At Risk
1015,21,19,258793.33000000002,2,3,4,9,Loyal Customers
1016,7,22,271650.7,4,4,4,12,Champions
1017,0,19,192885.6,5,3,2,10,Loyal Customers
1018,6,19,182777.51,4,3,2,9,Loyal Customers
1019,4,21,254887.68,5,4,3,12,Champions
1020,35,18,233788.13,1,2,3,6,At Risk
1021,24,23,253450.86,2,4,3,9,Loyal Customers
1022,8,14,159180.41,4,1,1,6,At Risk
1023,24,9,127413.87000000001,2,1,1,4,Lost / Inactive
1024,2,28,346934.06,5,5,5,15,Champions
1025,11,16,202555.64,3,2,2,7,At Risk
1026,20,11,138041.86000000002,2,1,1,4,Lost / Inactive
1027,44,23,226869.07,1,4,3,8,At Risk
1028,53,20,276845.97,1,3,4,8,At Risk
1029,1,19,338814.67,5,3,5,13,Champions
1030,24,11,108722.06999999999,2,1,1,4,Lost / Inactive
1031,2,16,158260.2,5,2,1,8,At Risk
1032,57,7,40975.46,1,1,1,3,Lost / Inactive
1033,0,15,179729.74,5,1,2,8,At Risk
1034,7,24,329751.52,4,5,5,14,Champions
1035,20,15,153398.94999999998,2,1,1,4,Lost / Inactive
1036,39,13,203904.82,1,1,2,4,Lost / Inactive
1037,30,20,255324.67,2,3,3,8,At Risk
1038,3,29,362682.48,5,5,5,15,Champions
1039,93,16,158657.96,1,2,1,4,Lost / Inactive
1040,16,22,304677.27,3,4,5,12,Champions
1041,0,23,295986.95,5,4,4,13,Champions
1042,18,16,159864.45,3,2,1,6,At Risk
1043,4,22,277592.5,5,4,4,13,Champions
1044,15,18,272402.7,3,2,4,9,Loyal Customers
1045,9,21,339688.15,4,4,5,13,Champions
1046,14,26,277017.77,3,5,4,12,Champions
